monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine","Off Persiaran Bestari , Cyber 11, Cyberjaya, Selangor",For Rent: Studio Edusphere @ Cyberjaya<br><br>A) Availability:<br>Now<br><br>B) Rental price:<br>RM1500<br><br>C) Deposit:<br>Security Deposit: RM3000<br>Utility Deposit: RM750<br>Stamping: RM400<br><br>D) Description:<br>• Studio / 1 Bathroom<br>• 2 single bed<br>• 450sqft<br>• Medium floor<br>• 1 Carpark<br><br>E) Furnishing:<br>• Fully Furnished<br><br>F) Facilities:<br>- Swimming pool<br>- Gym<br>- Basketball court<br><br>G) Amenities:<br>- walking distance to UoC<br>- 3Mins to Cyberjaya Hospital & Multimedia University <br>- 5Mins to D'Pulze Shopping Mall<br>- 8Mins to Putrajaya Sentral <br>- 15Mins to IOI Mall Putrajaya <br><br>H) Accessibility:<br>- MEX Express Highway <br>- ELITE Highway <br>- PLUS Highway <br>- KLIA<br><br>H) How to contact:<br><br>wasap.my/60108617539<br>Syahrul Faez   <br>REN40695   <br>Esprit Estate Agent Sdn Bhd   <br>syahrul.faez@espritestate.com   <br>Tiktok : @syahrul_faez <br>010-8617539,Selangor,Cyberjaya,2025-02-23 15:04,2025-02-24,110243271,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Partially Furnished,"Playground, Jogging Track, Sauna, Gymnasium, Lift, Security, Swimming Pool, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Teknologi Subang, Subang Hi-tech Industrial Park, Subang Jaya, Selangor",🏡Southplace Residence @Tropicana Metropark🏡<br>✨Brand New Unit!!✨<br><br>500sqft<br>- Studio Unit<br>- 1 Bathroom<br>- 1 Carpark<br><br>Partially Furnished:<br>-Washing Machine<br>-Fridge<br>-Kitchen Cabinet<br>-Airconds<br>-Water Heater<br><br>🔥Rental: RM1500 Only!🔥<br><br>Call or Whatsapp for viewing appointment<br>016-404 3385<br>Paris Yong<br>REN 69396<br>The Roof Realty Sdn Bhd (E11605)<br>Https://wa.me/60164043385<br>Owner welcome to list,Selangor,Subang Jaya,2025-02-23 15:03,2025-02-24,110173912,,
"RM 1,400 per month","House, For rent",Townhouse,3,2,1245 sq.ft.,Partially Furnished,,,,Selayang Taman Amansiara Town House for Rental.<br><br>- 1245sf<br>- 3 room 2 bathroom <br>- Leasehold non bumi<br>- Facing main road no parking problem<br>- Include all the fitting and fixture <br>- Close to amenities <br>- Easy access via major highway and access <br><br>Asking Rental : RM 1400/ monthly<br><br>If interested call Ken Chong 010-9022190 for viewing arrangement and details <br>welcome property owner to list sale/rent,Selangor,Selayang,2025-02-23 15:01,2025-02-24,110243249,,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,2,2,1050 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Parking, Security, Lift, Playground, Minimart","Cooking Allowed, Air-Cond, Washing Machine","Jalan Boling Padang 13/62, Seksyen 13, Shah Alam, Selangor",Arte Sw Shah alam <br>MSU <br>Aeon <br>LRT 3 upcoming <br><br>2 rooms 2 bath <br>aircond <br>washing machine <br>fridge <br>dryer<br>fan<br>lights <br>sofa<br>Island <br><br><br>RM2300<br><br>1 month advance rental <br>2 months deposit ( Refundable )<br>0.5 month utility deposit ( Refundable )<br><br>Owners are welcome to list,Selangor,Shah Alam,2025-02-23 15:01,2025-02-24,110243248,3.0751843823612655,101.55101583371984
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Fully Furnished,"Security, Lift, Playground, Swimming Pool, Gymnasium, Minimart","Air-Cond, Cooking Allowed","Jalan Multimedia 7/Ah, I-City, Selangor","Shah Alam Sek 7<br>icity <br><br><br>I soho I city Block E<br>Hyde tower <br><br><br>I-City Hyde Tower <br>Fully furnished <br>Isoho unit 1 room  1 hall<br>With grills, aircond, water heater, stove, fridge, washing mc, TV, sofa, oven, and utensils.<br>Near to all amenities, facilities and icity malls.<br>Monthly rental: 1500.<br>Contract min 1 yes.<br><br>RM1500 rental <br>1 month advance rental <br>2 months deposit ( Refundable )<br>0.5 month utility deposit ( Refundable )<br><br>Owners are welcome to list",Selangor,I-City,2025-02-23 14:55,2025-02-24,110243008,3.0651164344671322,101.48331981653467
"RM 1,400 per month","Apartment / Condominium, For rent",Studio,1,1,487 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Security, Parking",,"Jalan Plumbum 7/102, Shah Alam, Selangor",I-City Shah Alam Seksyen 7 <br>Near UITM College<br><br>Service Apartment For Rent <br>📌Studio Unit<br>📌486sqft<br>📌1 toliet <br>📌Fully Furnished <br><br>💰Rental RM1400💰<br>(Included maintenance fees)<br><br>[Welcome to Inquiry Now~]<br><br>☎️ Kindly contact me for more details & viewing arrangements ❗❗<br><br>Blythe Phua 016-6866028<br>(REN 46628)<br><br>Direct WhatsApp :<br><br>wasap.my/60166866028<br>wasap.my/60166866028<br>wasap.my/60166866028<br><br>Mudah Website :<br><br>https://www.mudah.my/blythe-phua-the-roof-realty-sdn-bhd<br><br>Facebook Link :<br><br>https://www.facebook.com/BlythePhua/<br><br>#BlytheProperty<br>#BlythePhua0166866028<br>#TheRoofRealtySdnBhd<br>#KlangRealEstate<br>#PropertyWanted <br>#有产业要买卖可以找我<br>#houseforsale #houseforrent #klang #Factoryforsale #factoryforrent #meru #kampungjawaklang #bandarputeriklang #bandarbotanicklang #kaparklang #setiaalam #bukitraja #shahalam #bukittinggiklang<br>#warehouseforrent #warehouseforsale #portklang #shoplotforrent #shoplotforsale<br>#apartmentforrent<br>#apartmentforsale,Selangor,Shah Alam,2025-02-23 14:55,2025-02-24,110243007,3.0638646688646602,101.48367082446583
"RM 1,100 per month","House, For rent",1-storey Terraced House,3,2,1400 sq.ft.,Not Furnished,,,,Property Details:<br>-RM1100<br>-1400sqft<br>-20x70<br>-Single Storey<br><br>Easy Access to:<br>-SILK<br>-LEKAS<br>-PLUS<br>-PUTRAJAYA<br>-KAJANG<br>-KUALA LUMPUR,Selangor,Semenyih,2025-02-23 14:53,2025-02-24,110210962,,
"RM 1,650 per month","House, For rent",2-storey Terraced House,4,3,1250 sq.ft.,Partially Furnished,,,,"DOUBLE STOREY TERRACE HOUSE @ IDAMAN WARISAN<br>TAMAN ALAM PERDANA, PUNCAK ALAM<br><br>~RM 1650<br><br>DETAILS:<br>~Intermediate unit<br>~Land: 20 x 65<br>~Built up: 1,250 sf<br>~4 bedrooms, 3 bathrooms<br><br>Condition:<br>~kitchen cabinet, 4 airconds. tv, water heaters<br><br>AMENITIES:<br>~ 99 Speedmart<br>~ Hospital UiTM<br>~ Child Care Centre<br>~ Klinik 1 Malaysia<br>~ Petronas station with ATM/CDM<br>~ Masjid Puncak Alam<br>~ Tesco, Econsave, Mydin shop<br>~ KFC, Pizza Hut, McDonald, Domino's Pizza<br><br>SEKOLAH:<br>SK Puncak Alam 2<br>SMK Puncak Alam<br>UITM Puncak Alam<br><br>ACCESSIBILITY:<br>~DASH Highway<br>~LATAR Highway<br>~GUTHRIE Highway<br>~Persiaran Mokhtar Dahari<br><br><br>For viewing & more info, please contact :<br>Chee Hin 011-5868 9982<br>www.wasap.my/601158689982<br><br>Vivahomes Realty (Kota Damansara) (E(3)1353)",Selangor,Puncak Alam,2025-02-23 14:50,2025-02-24,110242980,,
RM 550 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,"Jogging Track, Minimart, Parking, Playground",,"Lebuh Kebun Nenas 1/KS7, Bandar Putera Klang, Klang, Selangor","Pangsapuri Sri Ayu, Bandar Putera Klang, Selangor<br><br>Bayaran bulanan RM 550 sahaja<br>(TERMASUK MAINTANANCE)<br>Kemasukan SEGERA <br>3 bilik 🛏️, 2 bilik air , tingkat 4, Blok A3<br><br>Full Deposit : <br>*Sewaan bulanan semasa =RM550<br>*Deposit Utiliti (Api+Air) = RM300<br>*Deposit 1 Bulan = RM550<br>*TOTAL: RM 1400 SAHAJA <br><br>Berdekatan :<br>- 14 minit to Kota Kemuning<br>- 12 minit to Bukit Tinggi Klang<br>- 7 minit to Bandar Puteri Klang<br>- NSK Trade City, Econsave<br>- Sentosa Specialist Hospital<br>- Sekolah Menengah Kebangsaan Jalan Kebun<br>- Shell Gas Station Bandar Puteri Klang<br>- 99 Speedmart<br>- KESAS Highway<br>- LKSA Highway<br><br><br><br>Boleh hubungi :<br>Bidasari (owner) : 011-6235 3966<br>Aizat : 011-786 0122<br>Syuhadah : 011-51530985",Selangor,Klang,2025-02-23 14:49,2025-02-24,110243127,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,996 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Minimart, Squash Court, Multipurpose hall, Security, Barbeque area, Playground, Gymnasium, Sauna, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Putra Permai, Bandar Putra Permai, Seri Kembangan, Selangor","For Rent<br><br>Sfera Residensi Puchong South @ Seri Kembangan<br>(Walking Distance to MRT Station) <br><br>Asking Price: RM1600 incl maintenance <br>Terms : 2 + 1 + 0.5 + TA<br><br>Partially Furnished <br>Size: 996 sqft<br>Bedrooms: 3<br>Bathrooms: 2<br>Level: 32<br>Car Parks: 2<br>24 hours Security<br><br>Furnishing: Partially Furnished (Includes Aircond, Fridge, Cabinets, Bedding, Washing Machine, etc.)<br><br>Facilities<br> • Infinity Pool<br> • Gym<br> • Sauna<br> • Multipurpose Hall<br> • Rooftop BBQ & Amenities<br><br>Accessibility <br> •  SKVE, LDP, MEX Hiway<br> •  40 mins to KLIA<br><br>For View | Booking please contact :<br><br>Nadznin Hafizu | 012 434 3697<br>Ren22796 | wasap.my/60124343697/SferaSewa",Selangor,Seri Kembangan,2025-02-23 14:45,2025-02-24,110243067,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,810 sq.ft.,Partially Furnished,Barbeque area,,"Bandar Puchong Jaya, Puchong, Selangor","Sri cempaka puchong jaya  Persiaran Indera, Apartment for Rent<br>==================================================<br>Kindly call/sms/whatsapp at John 016-4802539<br>==================================================<br>-Rental Rm900 nett<br>-Level 1 only<br>-Bedrooms:3<br>-Bathrooms: 2<br>-Built-up: 810 sf<br>-Ready to move in<br>-Lighting and Fan <br>-Grille <br>-Kitchen top<br>-Water heater<br>-Fridge<br>-1 unit car park <br><br><br>Please call / SMS / email / whatsapp at JohnKhaw 016-4802539",Selangor,Puchong,2025-02-23 14:44,2025-02-24,110087341,3.0455572,101.6259296
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1650 sq.ft.,Not Furnished,"Parking, Security, Playground, Jogging Track",,,"Double Storey Rentak Perdana Bandar Puncak Alam For Rent<br><br>•FOR RENT (UNTUK DISEWA)<br>Kindly Contact: 014-2266003 Elwin Ong<br><br>===================================<br>Rental : RM1400 monthly<br><br>Details:<br>- Location: LBS Rentak Perdana<br>- Type: Double Storey Terrace House<br>- Intermediate<br>- Land Area Size : 1200 sqft<br>- Build Up Size : 1650 sqft<br>- Lights, Fan, Curtain Rail ,Kitchen Top<br><br>NEARBY :<br>* Hospital UiTM Puncak Alam<br>* Jaya Grocers<br>* A&W<br>* Starbucks<br>* Commercial area<br>* Bandar Seri Coalfield<br>* KIP Mall<br>* Masjid Puncak Alam<br>* Tesco<br>* Econsave<br><br>Easy access to an extensive network of highways includings the GCE, NKVE, LATAR, and the newly opened DASH Expressway<br><br>For Viewing & More details, Kindly Contact:<br>014-2266003 Elwin Ong",Selangor,Puncak Alam,2025-02-23 14:44,2025-02-24,109199550,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Fully Furnished,"Parking, Security, Playground","Near KTM/LRT, Washing Machine, Cooking Allowed","Jalan Kelisa 4, Taman Tropika, Bangi, Selangor","Apartment Taman Tropika Blok B<br>Sungai Tangkas UKM & Alam Sari<br>Near Stesen Komuter UKM, Bangi<br>10min ke Kajang<br>15min ke Putrajaya<br><br>Tingkat 2<br>3 bilik tidur<br>2 bilik air<br>Peti ais<br>Mesin basuh<br>Meja makan<br>Dapur stove<br>Cuckoo<br>2~3 katil single<br>1 dedicated car park<br><br>Sesuai boleh muat 3-6 org<br>Sewa: RM1300<br>Deposit: 2.5bulan : RM3000<br><br>Wasap 011 3999 3787 <br><br>011<br>3999<br>3787",Selangor,Bangi,2025-02-23 14:41,2025-02-24,108328066,,
RM 900 per month,"Apartment / Condominium, For rent",Flat,3,1,650 sq.ft.,Not Furnished,"Parking, Lift, Playground",," Jalan Wawasan Ampang, Bandar Baru Ampang, Ampang, Selangor","Kemasukan Segera - Februari 2025‼️🏡<br><br>Keutamaan untuk warga Malaysia Muslim yang baru berkahwin atau berkeluarga.<br><br><br>* RM 900 sebulan sahaja (maintenance included)<br>* 650 sqft<br>- 3 Bilik Tidur, 1 Bilik Mandi, 1 Bilik Air,<br>- ⁠Open Parking<br>- ⁠Cabinet Dapur<br><br>- Kemudahan bus stop di bawah pangsapuri.<br>- Kemudahan Berdekatan Shopping & Restoran - Dekat dengan Aeon Big, Ampang Point, Hospital & Klinik - Berdekatan dengan Hospital Ampang dan Klinik Kesihatan, Sekolah - SMK Bandar Baru Ampang, SK Ampang Campuran, dan lain-lain.<br><br>-plz call kim loh 016-716 2530<br><br><br><br>owners are welcome to list",Selangor,Ampang,2025-02-23 14:37,2025-02-24,109793502,,
RM 650 per month,"House, For rent",2-storey Terraced House,2,1,1400 sq.ft.,Not Furnished,,,,"🏡LOT RUMAH TAMAN RIA DI TANJONG KARANG UNTUK DI SEWA💥<br><br>✨2 Unit bilik <br>✨1 Unit bilik air<br>✨Mudah dapat kereta Tempat PARKING<br>✨Rumah semua baru dicat <br>✨Taman permainan yang baru<br><br>Kelengkapan<br>🎈Kipas siling<br>🎈Kipas dinding<br>🎈Lampu <br><br>3 - 5 minit ke~<br>📌Pekan Tanjong Karang<br>📌Bank- bank <br>📌Hospital Tanjong Karang/ Klinik kesihatan<br>📌Sekolah Rendah /Menegah (Malay /Chinese/India)<br>📌Mr Diy, Pasaraya Segi/ Pasaraya Best/ 99 Speed Market.                <br>📌Restaurant makan semua berdekatan<br><br>15minit 🏖Tempat Perlancongan 🤩<br>📍 Sekinchan <br>📍 Kuala Selangor<br><br>📞 Call / WhatsApp untuk maklumat yg selanjutnya:<br>📞 Mr Tan 0192233556 <br><br>Terima Kasih.",Selangor,Tanjong Karang,2025-02-23 14:34,2025-02-24,110242946,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Security, Lift","Air-Cond, Cooking Allowed","No. 90, Jalan Karunmas 5, Taman Desa Karunmas, Seri Kembangan, Selangor","Location in Balakong Impian Ehsan Inside taman desa karunmas <br>Mount Karunmas Condo Rent RM 1200<br><br>*3 Minutes drive distance to Jade hill <br>*10 Minutes drive distance to impian ehsan Amerin mall and tanming jaya<br>*3 bedrooms and 2 bathrooms<br>*1 parking lot<br>*1050sqft<br>*Semi furnished:<br>- two air-cond and two water heaters<br>- refrigerator <br>- kitchen cabinets and table top <br>- dining table and chairs<br>- master bedroom king size mattress and second bedroom single bed <br>*Facility :<br>-24 hours security<br>-cctv in exit , lobby and lft <br>-gated and guarded <br>- swimming pool<br>-access card system <br><br>*2 months deposit+ 1 month utility deposit + 1 month advance rental +1 piece access card deposit <br>More details / arrangement view house Contact or <br>WhatsApp 0127042005 Angel , Thanks.",Selangor,Seri Kembangan,2025-02-23 14:30,2025-02-24,110242927,,
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,2,1,600 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Gymnasium, Club house, Jogging Track","Air-Cond, Cooking Allowed","Jalan Setia Murni U13/51, Setia Alam, Selangor","Edusentral Condominium <br>Ambience Suites<br>600sqft<br>2 Room 1 Bathroom <br>Partially furnished <br>Ready unit, Can move in anytime.<br><br>Call / WhatsApp : 016-8608901 Annie (REN20706)",Selangor,Setia Alam,2025-02-23 14:26,2025-02-24,109903649,3.1188307039333805,101.45292025158282
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1288 sq.ft.,Fully Furnished,"Lift, Multipurpose hall, Security, Swimming Pool, Barbeque area, Gymnasium, Playground, Jogging Track, Parking","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet","Jalan Mutiara 2, Mutiara Heights, Kajang, Selangor","UNTUK DISEWAKAN<br>#NOCOBROKE / #NOCOA<br><br>Ivory Residence Condominium, Mutiara Height Kajang<br><br>Asking Rental : RM1,300 monthly NETT<br>incl Maintenance fee<br><br>Property Details :<br>*1288 sqft<br>*3 bedroom, 2 bathroom<br>*2 parking space (side by side)<br>*3 tier security<br>*FREE 4 Aircond + Kitchen Cabinet <br>*Block C Mid Level<br><br>Facilities<br>*Swimming pool<br>*Playground<br>*Gym<br>*Badminton court<br>*BBQ area<br>*Hall<br>*Gated and guarded<br><br>2 month security deposit : RM2,600<br>1 month advance rental : RM1,300<br>1/2 month utilities deposit : RM650<br>Tenancy agreement : RM200<br>Total : RM4,750<br><br>Nadzmie Nasir<br>0125244722",Selangor,Kajang,2025-02-23 14:26,2025-02-24,109957482,3.0340813359276204,101.80435118518957
"RM 3,000 per month","House, For rent",Semi-Detached House,4,5,2550 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Jogging Track, Club house","Air-Cond, Cooking Allowed",,"Eco Grandeur Semi-D Norton Garden Bandar Puncak Alam<br><br>• FOR RENT (UNTUK DISEWA)<br>For further info and viewing please contact;<br>Elwin Ong 014-2266003<br><br>Eco Grandeur Semi-D Norton Bandar Puncak Alam ( Partially Furnished)<br>===================================<br>RM 3000 monthly<br>(included monthly maintenance fee)<br>===================================<br>DETAILS:<br>- Double Storey Semi-D<br>- Intermediate <br>- Partially Furnished<br>- 4+1 Bedrooms 5 Bathrooms<br>- Built Up : 2159 sqft<br>- Land Area : 34 x 75<br>- Lights, Fan, Curtain , Aircond x 3 , Kitchen Cabinet, Wardrobe<br><br>For Viewing & More details, Kindly Contact:<br>014-2266003 Elwin Ong",Selangor,Puncak Alam,2025-02-23 14:25,2025-02-24,110242639,,
RM 850 per month,"Apartment / Condominium, For rent",Apartment,4,2,900 sq.ft.,Not Furnished,"Security, Parking",,"Jalan Kelisa 4, Taman Tropika, Bangi, Selangor","Taman Tropika Apartment Bangi FOR RENT<br><br>Unit details:<br>- 4 rooms 2 baths<br>- 1 parking<br>- BASIC UNIT <br>- NICE UNIT <br><br>***  PICTURE DISPLAYED IS NOT ACTUAL UNIT  ***<br><br><br>*** The pictures is just for environment display only NOT the actual unit ***<br><br><br>Please: Call/SMS/WhatsApp/Email for more information. Thank you!<br>-<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br><br>Email = karkit789@gmail.com<br><br>Vestcom Realty E(3)1484<br>D-12 (Level 2) Cheras Centrepoint<br>Medan Connaught, 56000<br>Kuala Lumpur.<br><br>*** Owner have unit can contact me as well ***",Selangor,Bangi,2025-02-23 14:25,2025-02-24,110242662,,
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Partially Furnished,"Parking, Playground, Minimart",,"Persiaran Warisan, Koa Warisan, Sepang, Selangor","Pangsapuri Villa Impian Apartment kota warisan sepang selangor for rent RM750 ( Deposit 1+2+1/2+ Agreement fee RM2875.00)<br>- 3 bedroom 2 bathroom <br>- fan<br>- parking lot <br>- unit block C -3 floor <br>- not lif <br><br>Nearby schools:<br>Brainy Bunch - Kota Warisan (new) (Elementary High Kindergarten), Sekolah Kebangsaan Kota Warisan (Primary), XMUMC - Xiamen University Malaysia Campus (Tertiary), Sekolah Kebangsaan Sg Melut (Asli) (Primary), Sekolah Menengah Kebangsaan Bandar Baru Salak Tinggi (Secondary)<br><br>Nearby public transportation:<br>Salak Tinggi (ERL)<br>Kip shopping mall<br><br>Pls call for viewing <br>Angel chang <br>0113059159 <br>chaikimchang@yahoo.com.my <br>REN07392",Selangor,Sepang,2025-02-23 14:19,2025-02-24,110167342,,
"RM 2,250 per month","House, For rent",Semi-Detached House,4,4,2180 sq.ft.,Fully Furnished,,,,"Fully Furnished 2 Storey Duranta Bandar Seri Coalfields<br><br>Details:<br>- Duranta type<br>- Land size : 24'x75'<br>- Build up : 2180sf<br>- 4 Bedrooms | 4 Bathrooms<br>- 4 Air cond<br>- 4 water heater<br>- Build in wardrobe<br>- Kitchen cabinet<br>- Bed<br>- Fridge<br><br>Amenities:<br>- Hospital Sungai Buloh, Bukit Rahman Putra Medical Centre<br>- Shops, Restaurants, Banks, Petrol Stations, Mini Markets <br>- UITM Puncak Alam, UITM Puncak Perdana<br>- Tasik Puteri Golf & Country Club, Kundang Lakes Country Club, Kelab Rahman Putra<br><br>Access:<br>- NKVE - LATAR<br>- Jalan Kuala Selangor<br>- Guthrie Highway<br>- Jalan Batu Arang<br><br>For Viewing Arrangement & More info,<br>Contact:<br>Kevin Yan @ 017-6777550<br>www.wasap.my/60176777550<br><br>Property Owners are welcome to list!<br><br>Vivahomes Realty (Kota Damansara) (E(3)1353)",Selangor,Sungai Buloh,2025-02-23 14:16,2025-02-24,109968878,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Not Furnished,"Parking, Playground, Lift, Security",,"Jalan Casuarina U17/56, Emina Green, Shah Alam, Selangor","UNTUK DISEWAKAN<br><br>APARTMENT ELMINA HARMONI 1, Elmina Greens, Saujana Utama, Sungai Buloh<br>====================================<br><br>RENTAL PRICE:RM1200 <br>======================================<br><br>PROPERTY DETAILS :<br>==================<br>- Apartment<br>- Built Up : 1000 sq.ft<br>- 3 Bedrooms, 2 Bathrooms<br>- basic unit<br>- Fan, Light<br><br>NEARBY AMENITIES :<br>==================<br>* Masjid Saujana Utama<br>* SMK & SK Saujana Utama<br>* SK Sri Pristana<br>* Central Mart Supermarket<br>* Pizza Hut, Domino's Pizza, KFC, Tealive, Mykori<br>* Banks (Bank Islam, BSN, Bank Rakyat)<br>* Shell and Petronas<br><br><br>ACCESSIBILITIES :<br>===============<br>- Persiaran Shorea (Link to Elmina City)<br>- DASH Highway<br>- LATAR Highway<br>- GUTHRIE Highway<br>- PLUS Highway<br>- Persiaran Mokhtar Dahari<br><br>For Viewing Arrangement & More info,<br>Contact:<br>Kevin Yan @ 017-6777550<br>www.wasap.my/60176777550<br><br>Property Owners are welcome to list!",Selangor,Shah Alam,2025-02-23 14:16,2025-02-24,109915003,,
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,4,2180 sq.ft.,Not Furnished,,,,"Endlot 2 Storey House @ Duranta Bandar Seri Coalfields<br><br>Available January 2025<br><br>Details:<br>- Endlot<br>- Build up : 2180sf<br>- 4 Bedrooms | 4 Bathrooms<br>- Basic unit<br><br>Amenities:<br>- Hospital Sungai Buloh, Bukit Rahman Putra Medical Centre<br>- Shops, Restaurants, Banks, Petrol Stations, Mini Markets <br>- UITM Puncak Alam, UITM Puncak Perdana<br>- Tasik Puteri Golf & Country Club, Kundang Lakes Country Club, Kelab Rahman Putra<br><br>Access:<br>- NKVE - LATAR<br>- Jalan Kuala Selangor<br>- Guthrie Highway<br>- Jalan Batu Arang<br><br>For Viewing Arrangement & More info,<br>Contact:<br>Kevin Yan @ 017-6777550<br>www.wasap.my/60176777550<br><br>Property Owners are welcome to list!<br><br>Vivahomes Realty (Kota Damansara) (E(3)1353)",Selangor,Sungai Buloh,2025-02-23 14:16,2025-02-24,109968860,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1420 sq.ft.,Not Furnished,,,,"Ritma Perdana @ Puncak Alam<br><br>PROPERTY DETAILS:<br>- Double Storey <br>- Land Area: 20x60<br>- Built-Up: 1420 sqft<br>- 4 Bedrooms | 3 Bathrooms<br>- Basic unit with Curtains<br>- Brand New<br><br>FACILITIES:<br> Surau<br> Dewan Serbaguna<br> Playground<br> Jogging Trail<br> Child out garden<br> Children Play park<br> BBQ Area<br><br>AMENITIES NEARBY:<br> Schools<br> Econsave, Eco-Shop, Tesco<br> Fast Foods (Burger King, KFC, McDonald's, Dominos, etc)<br> Petrol Pumps<br><br>CONNECTIVITY:<br> LATAR Highway<br> GUTHRIE Highway<br> DASH Highway<br> NKVE Highway<br><br>For Viewing Arrangement & More info,<br>Contact:<br>Kevin Yan @ 017-6777550<br>www.wasap.my/60176777550<br><br>Property Owners are welcome to list!",Selangor,Puncak Alam,2025-02-23 14:16,2025-02-24,109592487,,
"RM 1,500 per month","Apartment / Condominium, For rent",Studio,1,1,42 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT","No. 1, Presint 2.8, Jalan Perdagangan, Jalan 14/4, Seksyen 14, Shah Alam, Selangor",fully furniture,Selangor,Shah Alam,2025-02-23 14:14,2025-02-24,110242657,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,712 sq.ft.,Partially Furnished,"Swimming Pool, Minimart, Lift, Security, Multipurpose hall, Parking, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT","Off Persiaran Kinrara, Taman Kinrara Seksyen 3, Bandar Kinrara, Selangor","FOR RENT<br><br>Kompleks Suria Kinrara Condominium , Selangor<br>👉 Family/Student & Workers - 1-2 Year Contract.<br>👉Available FEBRUARY 2025<br><br>Description:<br>⁃ 3 Bedrooms<br>⁃ 2 Bathrooms<br>⁃ Built-up:712 qft<br>• Level 4( Facing Pool)<br>- Elevator<br>- Swimming pool <br>- Surau/Taska/Mini Mart<br>- 1 Parking<br>- 2 Access card <br><br>PARTLY FURNISHED<br><br>Asking Rental: RM1200/month(including Mantainant fee)<br>Deposit: 1 month advance rental + 2 months Security Deposit + 0.5 utility + Tenancy Agreement.<br><br>Interested for View & Appointment Slot Contact Me:<br><br>https://www.wasap.my/60183230567/Suriakinrara<br><br>Zuraini Chester Properties <br>REN 53928<br>018-3230567",Selangor,Bandar Kinrara,2025-02-23 14:10,2025-02-24,110242562,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Security, Parking, Swimming Pool, Lift",,"Jalan PJU 10/18, Petaling Jaya, Selangor","Raymond @ 017 - 777 3375 (Watsapp 24hrs on)<br><br>1st march 2025 can move in <br><br>Sri Embun Apartment @ Damansara Damai<br>** 2 Car Park **!<br><br>ADDRESS : JLN PJU 10/17 , Sutera Damansara,, Damansara Damai, Petaling Jaya, Selangor, Malaysia<br><br>Property Details : -<br><br><br>- Kitchen Cabinet<br>- 2 Car Park !<br>- 850sq ft<br>- 3rooms 2bathrooms<br>- Built In Kitchen Cabinet<br>- Window Grill <br>- Fans and Lighting<br>- 2 Covered Car Parking<br>- 24Hours Security<br><br>** Only at RM 1,200( FIRST COME FIRST SERVE)<br>** Deposit 1+2+1 ( CALL NOW / WATSAPP NOW! )<br><br><br>Please drop me a text if i'm not answering the call<br><br>Real Estate Finders (E(3)1369)",Selangor,Petaling Jaya,2025-02-23 14:10,2025-02-24,110242542,3.1868662482899515,101.59394181830797
